exam_name,organization,year,tier,total_marks,General/UR,OBC,SC,ST,EWS,text
SSC CGL,SSC,2023,Tier-I,200,154.05,145.13,129.67,112.29,148.5,"Category-wise Tier-I cut-off marks for SSC CGL 2023:
Unreserved: 154.05, Other Backward Classes: 145.13, Scheduled Caste: 129.67, Scheduled Tribe: 112.29. Maximum marks: 200."
SBI PO,SBI,2020,Prelims,100,81.96,71.34,51.02,57.48,74.5,"SBI PO 2020 Prelims Cutoff Marks (Out of 100):
General: 81.96
OBC: 71.34
SC: 51.02
ST: 57.48
EWS: 74.5"
TSPSC Group I,TSPSC,2021,Mains,900,492.72,465.74,445.64,434.71,484.88,"TSPSC Group I 2021 Mains Cutoff Marks (Out of 900):
General: 492.72
OBC: 465.74
SC: 445.64
ST: 434.71
EWS: 484.88"
IBPS PO,IBPS,2020,Prelims,100,55.53,50.05,50.89,41.21,52.45,"Category-wise Prelims cut-off marks for IBPS PO 2020:
Unreserved: 55.53, Other Backward Classes: 50.05, Scheduled Caste: 50.89, Scheduled Tribe: 41.21. Maximum marks: 100."
APPSC Group I,APPSC,2020,Mains,900,500.04,457.36,477.67,471.4,492.63,"The cutoff for APPSC Group I Mains (2020) has been declared. General category cutoff is 500.04/900, OBC cutoff is 457.36/900, SC cutoff is 477.67/900, ST cutoff is 471.4/900."
TSPSC Group I,TSPSC,2025,Prelims,150,81.26,88.39,66.73,54.27,74.71,"TSPSC Group I 2025
Prelims Qualifying Marks:
UR: 81.26 | OBC: 88.39 | SC: 66.73 | ST: 54.27 | EWS: 74.71
Total Marks: 150"
UPSC CSE,UPSC,2020,Final,2025,1021.66,999.2,857.05,780.72,1018.18,"UPSC CSE 2020
Final Qualifying Marks:
UR: 1021.66 | OBC: 999.2 | SC: 857.05 | ST: 780.72 | EWS: 1018.18
Total Marks: 2025"
SSC CGL,SSC,2020,Tier-II,400,335.75,275.39,285.55,200.54,330.74,"SSC CGL 2020
Tier-II Qualifying Marks:
UR: 335.75 | OBC: 275.39 | SC: 285.55 | ST: 200.54 | EWS: 330.74
Total Marks: 400"
IBPS PO,IBPS,2020,Mains,225,128.09,115.46,75.65,66.69,124.6,"The cutoff for IBPS PO Mains (2020) has been declared. General category cutoff is 128.09/225, OBC cutoff is 115.46/225, SC cutoff is 75.65/225, ST cutoff is 66.69/225."
RRB NTPC,RRB,2025,CBT-1,100,73.55,73.3,56.12,41.92,69.79,"Category-wise CBT-1 cut-off marks for RRB NTPC 2025:
Unreserved: 73.55, Other Backward Classes: 73.3, Scheduled Caste: 56.12, Scheduled Tribe: 41.92. Maximum marks: 100."
RBI Grade B,RBI,2024,Phase-I,200,139.48,107.2,109.54,93.45,133.39,"The cutoff for RBI Grade B Phase-I (2024) has been declared. General category cutoff is 139.48/200, OBC cutoff is 107.2/200, SC cutoff is 109.54/200, ST cutoff is 93.45/200."
IBPS PO,IBPS,2025,Prelims,100,71.38,68.08,41.12,46.58,66.29,"IBPS PO 2025 Prelims Cutoff Marks (Out of 100):
General: 71.38
OBC: 68.08
SC: 41.12
ST: 46.58
EWS: 66.29"
RBI Grade B,RBI,2021,Phase-II,300,166.68,160.8,146.38,111.26,161.51,"Category-wise Phase-II cut-off marks for RBI Grade B 2021:
Unreserved: 166.68, Other Backward Classes: 160.8, Scheduled Caste: 146.38, Scheduled Tribe: 111.26. Maximum marks: 300."
UPSC CSE,UPSC,2020,Final,2025,1038.93,893.1,881.83,789.98,1035.51,"Category-wise Final cut-off marks for UPSC CSE 2020:
Unreserved: 1038.93, Other Backward Classes: 893.1, Scheduled Caste: 881.83, Scheduled Tribe: 789.98. Maximum marks: 2025."
APPSC Group I,APPSC,2026,Prelims,150,88.39,87.0,81.29,64.49,83.24,"APPSC Group I 2026
Prelims Qualifying Marks:
UR: 88.39 | OBC: 87.0 | SC: 81.29 | ST: 64.49 | EWS: 83.24
Total Marks: 150"
RRB NTPC,RRB,2023,CBT-1,100,63.78,58.05,64.74,46.61,59.18,"RRB NTPC 2023
CBT-1 Qualifying Marks:
UR: 63.78 | OBC: 58.05 | SC: 64.74 | ST: 46.61 | EWS: 59.18
Total Marks: 100"
RBI Grade B,RBI,2025,Phase-I,200,100.67,107.53,84.87,70.18,94.84,"RBI Grade B 2025
Phase-I Qualifying Marks:
UR: 100.67 | OBC: 107.53 | SC: 84.87 | ST: 70.18 | EWS: 94.84
Total Marks: 200"
RBI Grade B,RBI,2024,Phase-II,300,189.23,151.45,166.32,126.8,181.42,"RBI Grade B 2024
Phase-II Qualifying Marks:
UR: 189.23 | OBC: 151.45 | SC: 166.32 | ST: 126.8 | EWS: 181.42
Total Marks: 300"
IBPS PO,IBPS,2022,Prelims,100,68.34,64.32,45.97,49.17,62.79,"The cutoff for IBPS PO Prelims (2022) has been declared. General category cutoff is 68.34/100, OBC cutoff is 64.32/100, SC cutoff is 45.97/100, ST cutoff is 49.17/100."
APPSC Group I,APPSC,2020,Mains,900,531.11,448.83,501.21,454.77,525.15,"Category-wise Mains cut-off marks for APPSC Group I 2020:
Unreserved: 531.11, Other Backward Classes: 448.83, Scheduled Caste: 501.21, Scheduled Tribe: 454.77. Maximum marks: 900."
TSPSC Group I,TSPSC,2020,Prelims,150,94.25,79.58,65.63,76.89,91.31,"Category-wise Prelims cut-off marks for TSPSC Group I 2020:
Unreserved: 94.25, Other Backward Classes: 79.58, Scheduled Caste: 65.63, Scheduled Tribe: 76.89. Maximum marks: 150."
TSPSC Group I,TSPSC,2025,Mains,900,501.67,452.64,392.68,406.99,493.78,"TSPSC Group I 2025 Mains Cutoff Marks (Out of 900):
General: 501.67
OBC: 452.64
SC: 392.68
ST: 406.99
EWS: 493.78"
RBI Grade B,RBI,2026,Phase-I,200,108.39,117.66,101.72,98.42,104.15,"The cutoff for RBI Grade B Phase-I (2026) has been declared. General category cutoff is 108.39/200, OBC cutoff is 117.66/200, SC cutoff is 101.72/200, ST cutoff is 98.42/200."
RRB NTPC,RRB,2025,CBT-1,100,71.4,72.8,51.5,42.26,64.21,"Category-wise CBT-1 cut-off marks for RRB NTPC 2025:
Unreserved: 71.4, Other Backward Classes: 72.8, Scheduled Caste: 51.5, Scheduled Tribe: 42.26. Maximum marks: 100."
SBI PO,SBI,2022,Mains,225,141.92,112.54,119.79,76.36,134.88,"SBI PO 2022
Mains Qualifying Marks:
UR: 141.92 | OBC: 112.54 | SC: 119.79 | ST: 76.36 | EWS: 134.88
Total Marks: 225"
APPSC Group I,APPSC,2020,Prelims,150,86.02,84.17,68.85,65.44,82.13,"APPSC Group I 2020 Prelims Cutoff Marks (Out of 150):
General: 86.02
OBC: 84.17
SC: 68.85
ST: 65.44
EWS: 82.13"
APPSC Group I,APPSC,2025,Final,1050,636.97,609.34,613.5,483.97,632.42,"The cutoff for APPSC Group I Final (2025) has been declared. General category cutoff is 636.97/1050, OBC cutoff is 609.34/1050, SC cutoff is 613.5/1050, ST cutoff is 483.97/1050."
RRB NTPC,RRB,2023,CBT-1,100,76.88,61.88,51.93,43.31,68.97,"The cutoff for RRB NTPC CBT-1 (2023) has been declared. General category cutoff is 76.88/100, OBC cutoff is 61.88/100, SC cutoff is 51.93/100, ST cutoff is 43.31/100."
SSC CHSL,SSC,2021,Tier-I,200,143.44,142.09,140.39,100.43,138.68,"SSC CHSL 2021
Tier-I Qualifying Marks:
UR: 143.44 | OBC: 142.09 | SC: 140.39 | ST: 100.43 | EWS: 138.68
Total Marks: 200"
TSPSC Group I,TSPSC,2020,Prelims,150,81.34,76.14,72.92,76.55,76.02,"TSPSC Group I 2020
Prelims Qualifying Marks:
UR: 81.34 | OBC: 76.14 | SC: 72.92 | ST: 76.55 | EWS: 76.02
Total Marks: 150"
RRB NTPC,RRB,2026,CBT-1,100,61.12,70.49,50.62,41.21,53.56,"RRB NTPC 2026
CBT-1 Qualifying Marks:
UR: 61.12 | OBC: 70.49 | SC: 50.62 | ST: 41.21 | EWS: 53.56
Total Marks: 100"
APPSC Group I,APPSC,2024,Final,1050,638.98,562.6,563.77,486.89,635.97,"APPSC Group I 2024 Final Cutoff Marks (Out of 1050):
General: 638.98
OBC: 562.6
SC: 563.77
ST: 486.89
EWS: 635.97"
RBI Grade B,RBI,2025,Phase-I,200,101.61,113.09,85.66,70.6,95.13,"The cutoff for RBI Grade B Phase-I (2025) has been declared. General category cutoff is 101.61/200, OBC cutoff is 113.09/200, SC cutoff is 85.66/200, ST cutoff is 70.6/200."
UPSC CSE,UPSC,2023,Prelims,200,99.66,96.26,75.47,88.82,93.52,"The cutoff for UPSC CSE Prelims (2023) has been declared. General category cutoff is 99.66/200, OBC cutoff is 96.26/200, SC cutoff is 75.47/200, ST cutoff is 88.82/200."
UPSC CSE,UPSC,2026,Prelims,200,100.3,95.14,93.4,82.63,93.42,"Category-wise Prelims cut-off marks for UPSC CSE 2026:
Unreserved: 100.3, Other Backward Classes: 95.14, Scheduled Caste: 93.4, Scheduled Tribe: 82.63. Maximum marks: 200."
SSC CHSL,SSC,2025,Final,300,232.58,201.52,188.37,150.39,225.83,"Category-wise Final cut-off marks for SSC CHSL 2025:
Unreserved: 232.58, Other Backward Classes: 201.52, Scheduled Caste: 188.37, Scheduled Tribe: 150.39. Maximum marks: 300."
SBI PO,SBI,2026,Mains,225,136.2,133.24,103.37,107.66,128.86,"SBI PO 2026
Mains Qualifying Marks:
UR: 136.2 | OBC: 133.24 | SC: 103.37 | ST: 107.66 | EWS: 128.86
Total Marks: 225"
RBI Grade B,RBI,2021,Phase-II,300,205.27,161.81,143.79,128.19,198.85,"Category-wise Phase-II cut-off marks for RBI Grade B 2021:
Unreserved: 205.27, Other Backward Classes: 161.81, Scheduled Caste: 143.79, Scheduled Tribe: 128.19. Maximum marks: 300."
SBI PO,SBI,2022,Mains,225,137.49,105.45,81.56,100.02,134.53,"The cutoff for SBI PO Mains (2022) has been declared. General category cutoff is 137.49/225, OBC cutoff is 105.45/225, SC cutoff is 81.56/225, ST cutoff is 100.02/225."
TSPSC Group I,TSPSC,2025,Prelims,150,76.97,80.8,79.24,57.18,71.44,"TSPSC Group I 2025 Prelims Cutoff Marks (Out of 150):
General: 76.97
OBC: 80.8
SC: 79.24
ST: 57.18
EWS: 71.44"
UPSC CSE,UPSC,2022,Prelims,200,91.58,86.52,78.87,84.92,86.28,"The cutoff for UPSC CSE Prelims (2022) has been declared. General category cutoff is 91.58/200, OBC cutoff is 86.52/200, SC cutoff is 78.87/200, ST cutoff is 84.92/200."
SSC CHSL,SSC,2020,Tier-I,200,166.28,136.78,115.7,116.35,161.17,"SSC CHSL 2020
Tier-I Qualifying Marks:
UR: 166.28 | OBC: 136.78 | SC: 115.7 | ST: 116.35 | EWS: 161.17
Total Marks: 200"
SBI PO,SBI,2023,Mains,225,114.16,129.12,117.73,106.16,108.89,"SBI PO 2023 Mains Cutoff Marks (Out of 225):
General: 114.16
OBC: 129.12
SC: 117.73
ST: 106.16
EWS: 108.89"
TSPSC Group I,TSPSC,2022,Final,1050,594.13,647.3,489.0,577.08,591.91,"TSPSC Group I 2022 Final Cutoff Marks (Out of 1050):
General: 594.13
OBC: 647.3
SC: 489.0
ST: 577.08
EWS: 591.91"
IBPS PO,IBPS,2024,Prelims,100,60.24,56.91,51.5,54.27,54.88,"The cutoff for IBPS PO Prelims (2024) has been declared. General category cutoff is 60.24/100, OBC cutoff is 56.91/100, SC cutoff is 51.5/100, ST cutoff is 54.27/100."
TSPSC Group I,TSPSC,2020,Final,1050,634.98,547.7,594.49,537.59,628.5,"TSPSC Group I 2020
Final Qualifying Marks:
UR: 634.98 | OBC: 547.7 | SC: 594.49 | ST: 537.59 | EWS: 628.5
Total Marks: 1050"
TSPSC Group I,TSPSC,2020,Final,1050,699.82,638.69,533.82,570.2,692.64,"TSPSC Group I 2020
Final Qualifying Marks:
UR: 699.82 | OBC: 638.69 | SC: 533.82 | ST: 570.2 | EWS: 692.64
Total Marks: 1050"
APPSC Group I,APPSC,2025,Prelims,150,98.0,93.28,73.0,65.27,93.44,"Category-wise Prelims cut-off marks for APPSC Group I 2025:
Unreserved: 98.0, Other Backward Classes: 93.28, Scheduled Caste: 73.0, Scheduled Tribe: 65.27. Maximum marks: 150."
TSPSC Group I,TSPSC,2026,Mains,900,470.96,495.63,430.74,431.3,468.27,"The cutoff for TSPSC Group I Mains (2026) has been declared. General category cutoff is 470.96/900, OBC cutoff is 495.63/900, SC cutoff is 430.74/900, ST cutoff is 431.3/900."
IBPS PO,IBPS,2023,Mains,225,121.1,104.69,91.2,66.41,113.75,"IBPS PO 2023 Mains Cutoff Marks (Out of 225):
General: 121.1
OBC: 104.69
SC: 91.2
ST: 66.41
EWS: 113.75"
RRB NTPC,RRB,2022,CBT-2,120,97.12,77.85,65.34,53.67,93.12,"RRB NTPC 2022
CBT-2 Qualifying Marks:
UR: 97.12 | OBC: 77.85 | SC: 65.34 | ST: 53.67 | EWS: 93.12
Total Marks: 120"
APPSC Group I,APPSC,2024,Mains,900,468.13,440.93,508.76,475.96,464.87,"APPSC Group I 2024 Mains Cutoff Marks (Out of 900):
General: 468.13
OBC: 440.93
SC: 508.76
ST: 475.96
EWS: 464.87"
SSC CGL,SSC,2021,Tier-I,200,154.7,140.84,100.48,121.8,147.87,"SSC CGL 2021
Tier-I Qualifying Marks:
UR: 154.7 | OBC: 140.84 | SC: 100.48 | ST: 121.8 | EWS: 147.87
Total Marks: 200"
SSC CGL,SSC,2026,Final,700,579.08,573.4,427.62,464.99,575.5,"SSC CGL 2026 Final Cutoff Marks (Out of 700):
General: 579.08
OBC: 573.4
SC: 427.62
ST: 464.99
EWS: 575.5"
SBI PO,SBI,2023,Prelims,100,62.78,62.68,60.79,50.38,57.34,"The cutoff for SBI PO Prelims (2023) has been declared. General category cutoff is 62.78/100, OBC cutoff is 62.68/100, SC cutoff is 60.79/100, ST cutoff is 50.38/100."
TSPSC Group I,TSPSC,2022,Mains,900,461.52,505.28,402.91,401.04,453.52,"TSPSC Group I 2022
Mains Qualifying Marks:
UR: 461.52 | OBC: 505.28 | SC: 402.91 | ST: 401.04 | EWS: 453.52
Total Marks: 900"
RBI Grade B,RBI,2022,Phase-I,200,135.31,107.42,88.78,98.28,127.97,"RBI Grade B 2022 Phase-I Cutoff Marks (Out of 200):
General: 135.31
OBC: 107.42
SC: 88.78
ST: 98.28
EWS: 127.97"
APPSC Group I,APPSC,2022,Final,1050,694.35,625.59,626.01,550.4,690.81,"Category-wise Final cut-off marks for APPSC Group I 2022:
Unreserved: 694.35, Other Backward Classes: 625.59, Scheduled Caste: 626.01, Scheduled Tribe: 550.4. Maximum marks: 1050."
SBI PO,SBI,2023,Mains,225,143.2,133.49,100.77,93.81,136.6,"SBI PO 2023 Mains Cutoff Marks (Out of 225):
General: 143.2
OBC: 133.49
SC: 100.77
ST: 93.81
EWS: 136.6"
APPSC Group I,APPSC,2025,Final,1050,585.17,688.08,598.68,502.02,578.91,"APPSC Group I 2025
Final Qualifying Marks:
UR: 585.17 | OBC: 688.08 | SC: 598.68 | ST: 502.02 | EWS: 578.91
Total Marks: 1050"
SSC CHSL,SSC,2023,Tier-I,200,141.41,132.07,120.9,95.3,135.51,"SSC CHSL 2023
Tier-I Qualifying Marks:
UR: 141.41 | OBC: 132.07 | SC: 120.9 | ST: 95.3 | EWS: 135.51
Total Marks: 200"
SBI PO,SBI,2022,Mains,225,113.04,122.22,96.96,81.48,110.38,"The cutoff for SBI PO Mains (2022) has been declared. General category cutoff is 113.04/225, OBC cutoff is 122.22/225, SC cutoff is 96.96/225, ST cutoff is 81.48/225."
APPSC Group I,APPSC,2020,Final,1050,719.22,605.07,506.97,494.37,712.54,"Category-wise Final cut-off marks for APPSC Group I 2020:
Unreserved: 719.22, Other Backward Classes: 605.07, Scheduled Caste: 506.97, Scheduled Tribe: 494.37. Maximum marks: 1050."
APPSC Group I,APPSC,2020,Mains,900,511.09,494.87,396.49,422.01,503.27,"APPSC Group I 2020
Mains Qualifying Marks:
UR: 511.09 | OBC: 494.87 | SC: 396.49 | ST: 422.01 | EWS: 503.27
Total Marks: 900"
RRB NTPC,RRB,2023,CBT-2,120,76.05,75.59,59.66,50.43,69.03,"RRB NTPC 2023 CBT-2 Cutoff Marks (Out of 120):
General: 76.05
OBC: 75.59
SC: 59.66
ST: 50.43
EWS: 69.03"
TSPSC Group I,TSPSC,2021,Final,1050,590.65,674.97,508.2,578.56,587.2,"The cutoff for TSPSC Group I Final (2021) has been declared. General category cutoff is 590.65/1050, OBC cutoff is 674.97/1050, SC cutoff is 508.2/1050, ST cutoff is 578.56/1050."
SSC CHSL,SSC,2025,Final,300,249.61,180.25,161.31,185.01,245.78,"SSC CHSL 2025
Final Qualifying Marks:
UR: 249.61 | OBC: 180.25 | SC: 161.31 | ST: 185.01 | EWS: 245.78
Total Marks: 300"
RRB NTPC,RRB,2020,CBT-1,100,75.53,72.27,64.9,52.23,72.3,"Category-wise CBT-1 cut-off marks for RRB NTPC 2020:
Unreserved: 75.53, Other Backward Classes: 72.27, Scheduled Caste: 64.9, Scheduled Tribe: 52.23. Maximum marks: 100."
SSC CHSL,SSC,2023,Final,300,211.29,180.26,165.25,157.41,205.85,"SSC CHSL 2023 Final Cutoff Marks (Out of 300):
General: 211.29
OBC: 180.26
SC: 165.25
ST: 157.41
EWS: 205.85"
RBI Grade B,RBI,2024,Phase-II,300,174.72,175.57,144.13,143.74,169.07,"RBI Grade B 2024
Phase-II Qualifying Marks:
UR: 174.72 | OBC: 175.57 | SC: 144.13 | ST: 143.74 | EWS: 169.07
Total Marks: 300"
SSC CGL,SSC,2026,Final,700,601.23,575.82,408.92,383.78,598.7,"SSC CGL 2026 Final Cutoff Marks (Out of 700):
General: 601.23
OBC: 575.82
SC: 408.92
ST: 383.78
EWS: 598.7"
TSPSC Group I,TSPSC,2026,Final,1050,602.5,554.49,542.12,536.78,596.72,"TSPSC Group I 2026
Final Qualifying Marks:
UR: 602.5 | OBC: 554.49 | SC: 542.12 | ST: 536.78 | EWS: 596.72
Total Marks: 1050"
RBI Grade B,RBI,2022,Phase-II,300,206.52,171.15,132.16,129.33,199.67,"The cutoff for RBI Grade B Phase-II (2022) has been declared. General category cutoff is 206.52/300, OBC cutoff is 171.15/300, SC cutoff is 132.16/300, ST cutoff is 129.33/300."
RBI Grade B,RBI,2021,Phase-II,300,162.45,178.33,148.4,125.94,158.0,"The cutoff for RBI Grade B Phase-II (2021) has been declared. General category cutoff is 162.45/300, OBC cutoff is 178.33/300, SC cutoff is 148.4/300, ST cutoff is 125.94/300."
RRB NTPC,RRB,2021,CBT-1,100,60.99,72.85,51.1,40.82,55.31,"RRB NTPC 2021
CBT-1 Qualifying Marks:
UR: 60.99 | OBC: 72.85 | SC: 51.1 | ST: 40.82 | EWS: 55.31
Total Marks: 100"
SBI PO,SBI,2026,Mains,225,139.19,110.47,110.85,108.95,131.53,"The cutoff for SBI PO Mains (2026) has been declared. General category cutoff is 139.19/225, OBC cutoff is 110.47/225, SC cutoff is 110.85/225, ST cutoff is 108.95/225."
IBPS PO,IBPS,2023,Prelims,100,66.87,57.13,52.84,51.84,64.04,"IBPS PO 2023
Prelims Qualifying Marks:
UR: 66.87 | OBC: 57.13 | SC: 52.84 | ST: 51.84 | EWS: 64.04
Total Marks: 100"
RRB NTPC,RRB,2025,CBT-2,120,81.48,84.79,62.87,66.78,76.93,"RRB NTPC 2025 CBT-2 Cutoff Marks (Out of 120):
General: 81.48
OBC: 84.79
SC: 62.87
ST: 66.78
EWS: 76.93"
APPSC Group I,APPSC,2021,Mains,900,522.85,524.97,444.94,404.84,516.36,"APPSC Group I 2021
Mains Qualifying Marks:
UR: 522.85 | OBC: 524.97 | SC: 444.94 | ST: 404.84 | EWS: 516.36
Total Marks: 900"
SSC CHSL,SSC,2026,Tier-I,200,171.18,144.73,139.13,104.34,168.89,"The cutoff for SSC CHSL Tier-I (2026) has been declared. General category cutoff is 171.18/200, OBC cutoff is 144.73/200, SC cutoff is 139.13/200, ST cutoff is 104.34/200."
RRB NTPC,RRB,2025,CBT-2,120,90.69,85.41,67.93,55.76,83.81,"RRB NTPC 2025
CBT-2 Qualifying Marks:
UR: 90.69 | OBC: 85.41 | SC: 67.93 | ST: 55.76 | EWS: 83.81
Total Marks: 120"
IBPS PO,IBPS,2025,Mains,225,104.5,95.32,102.14,101.4,97.23,"IBPS PO 2025 Mains Cutoff Marks (Out of 225):
General: 104.5
OBC: 95.32
SC: 102.14
ST: 101.4
EWS: 97.23"
RBI Grade B,RBI,2026,Phase-I,200,121.36,117.69,109.0,101.59,115.32,"The cutoff for RBI Grade B Phase-I (2026) has been declared. General category cutoff is 121.36/200, OBC cutoff is 117.69/200, SC cutoff is 109.0/200, ST cutoff is 101.59/200."
SSC CGL,SSC,2021,Tier-I,200,141.73,140.44,121.84,92.7,139.63,"The cutoff for SSC CGL Tier-I (2021) has been declared. General category cutoff is 141.73/200, OBC cutoff is 140.44/200, SC cutoff is 121.84/200, ST cutoff is 92.7/200."
RBI Grade B,RBI,2025,Phase-I,200,120.85,115.89,108.43,94.46,115.84,"The cutoff for RBI Grade B Phase-I (2025) has been declared. General category cutoff is 120.85/200, OBC cutoff is 115.89/200, SC cutoff is 108.43/200, ST cutoff is 94.46/200."
IBPS PO,IBPS,2025,Prelims,100,74.16,53.89,55.57,43.88,66.21,"IBPS PO 2025
Prelims Qualifying Marks:
UR: 74.16 | OBC: 53.89 | SC: 55.57 | ST: 43.88 | EWS: 66.21
Total Marks: 100"
SSC CHSL,SSC,2026,Tier-I,200,152.06,151.47,116.1,100.19,147.55,"SSC CHSL 2026
Tier-I Qualifying Marks:
UR: 152.06 | OBC: 151.47 | SC: 116.1 | ST: 100.19 | EWS: 147.55
Total Marks: 200"
APPSC Group I,APPSC,2026,Mains,900,575.01,448.44,484.7,414.27,567.22,"The cutoff for APPSC Group I Mains (2026) has been declared. General category cutoff is 575.01/900, OBC cutoff is 448.44/900, SC cutoff is 484.7/900, ST cutoff is 414.27/900."
RBI Grade B,RBI,2024,Phase-II,300,176.05,161.17,151.18,126.59,169.99,"The cutoff for RBI Grade B Phase-II (2024) has been declared. General category cutoff is 176.05/300, OBC cutoff is 161.17/300, SC cutoff is 151.18/300, ST cutoff is 126.59/300."
APPSC Group I,APPSC,2025,Prelims,150,94.81,89.5,82.01,75.9,91.47,"Category-wise Prelims cut-off marks for APPSC Group I 2025:
Unreserved: 94.81, Other Backward Classes: 89.5, Scheduled Caste: 82.01, Scheduled Tribe: 75.9. Maximum marks: 150."
SSC CHSL,SSC,2020,Tier-I,200,153.23,148.69,111.63,103.65,150.83,"SSC CHSL 2020 Tier-I Cutoff Marks (Out of 200):
General: 153.23
OBC: 148.69
SC: 111.63
ST: 103.65
EWS: 150.83"
RRB NTPC,RRB,2021,CBT-1,100,67.63,62.31,61.65,43.63,64.94,"Category-wise CBT-1 cut-off marks for RRB NTPC 2021:
Unreserved: 67.63, Other Backward Classes: 62.31, Scheduled Caste: 61.65, Scheduled Tribe: 43.63. Maximum marks: 100."
RRB NTPC,RRB,2021,CBT-2,120,83.27,79.64,78.83,48.03,79.55,"Category-wise CBT-2 cut-off marks for RRB NTPC 2021:
Unreserved: 83.27, Other Backward Classes: 79.64, Scheduled Caste: 78.83, Scheduled Tribe: 48.03. Maximum marks: 120."
UPSC CSE,UPSC,2022,Final,2025,1026.32,940.7,823.99,854.77,1022.76,"UPSC CSE 2022
Final Qualifying Marks:
UR: 1026.32 | OBC: 940.7 | SC: 823.99 | ST: 854.77 | EWS: 1022.76
Total Marks: 2025"
TSPSC Group I,TSPSC,2021,Mains,900,565.02,505.1,405.36,358.51,562.53,"TSPSC Group I 2021
Mains Qualifying Marks:
UR: 565.02 | OBC: 505.1 | SC: 405.36 | ST: 358.51 | EWS: 562.53
Total Marks: 900"
UPSC CSE,UPSC,2021,Mains,1750,845.71,764.71,734.99,739.05,841.22,"UPSC CSE 2021 Mains Cutoff Marks (Out of 1750):
General: 845.71
OBC: 764.71
SC: 734.99
ST: 739.05
EWS: 841.22"
APPSC Group I,APPSC,2024,Final,1050,608.68,610.55,500.21,490.37,602.42,"APPSC Group I 2024
Final Qualifying Marks:
UR: 608.68 | OBC: 610.55 | SC: 500.21 | ST: 490.37 | EWS: 602.42
Total Marks: 1050"
