text,entities_extracted,organization,exam_name,vacancies
"Employees Provident Fund Organisation (EPFO) has released notification for LIC AAO Recruitment 2026. Total number of vacancies: 30 posts for the post of Fitter. Educational Qualification: Bachelor Degree in any discipline from recognized university. Age Limit: 20-30 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹2000 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: Level-13: ₹1,23,100-2,15,900. Application Start Date: 23/10/2026. Last Date to Apply: 07-06-2027. Date of Examination: 05/11/2027. Experience: 5 years of experience in relevant field.","ORGANIZATION:EPFO; VACANCY_COUNT:30; POST_NAME:Fitter; QUALIFICATION:Bachelor Degree in any discipline from recognized university; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹2000; PAY_SCALE:Level-13: ₹1,23,100-2,15,900; START_DATE:23/10/2026; LAST_DATE:07-06-2027; EXAM_DATE:05/11/2027; EXPERIENCE:5 years of experience in relevant field",EPFO,LIC AAO Recruitment 2026,30
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Institute of Banking Personnel Selection (IBPS)

Post: Junior Engineer (Civil/Mechanical/Electrical/IT)
Number of Posts: 50 nos.
Qualification: Matriculation (10th pass) from recognized board
Age: Not exceeding 21-32 years
Consolidated Pay: Level-6: ₹35,400-1,12,400
No application fee required.
Registration Date: 28 April, 2026
Walk-in Date: 21st July 2026
Experience: 5 years of experience in relevant field","ORGANIZATION:IBPS; POST_NAME:Junior Engineer (Civil/Mechanical/Electrical/IT); VACANCY_COUNT:50; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:21-32 years; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:28 April, 2026; LAST_DATE:21st July 2026; EXPERIENCE:5 years of experience in relevant field",IBPS,KVS PGT/TGT/PRT Recruitment 2026,50
"Applications are invited for 3,000 positions of Panchayat Secretary in Employees Provident Fund Organisation (EPFO). Essential qualification is B.Tech/B.E. in Computer Science/IT/Electronics from recognized university. Upper age limit is 18-32 years as on closing date. Selection will be through written examination. Examination fee: No fee. Remuneration: Level-6: ₹35,400-1,12,400. Online registration opens: 9-Jul-2026. Last date for submission: 03-01-2027. Written test date: 6rd July 2027. Desired experience: 1 years of experience in relevant field.","VACANCY_COUNT:3,000; POST_NAME:Panchayat Secretary; ORGANIZATION:EPFO; QUALIFICATION:B.Tech/B.E. in Computer Science/IT/Electronics from recognized university; AGE_LIMIT:18-32 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:9-Jul-2026; LAST_DATE:03-01-2027; EXAM_DATE:6rd July 2027; EXPERIENCE:1 years of experience in relevant field",EPFO,India Post Postal Assistant/SA Recruitment 2026,3000
"Andhra Pradesh PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 10/2025

The Andhra Pradesh Public Service Commission (APPSC) invites applications for recruitment to the post of Assistant.

Total Vacancies: 3 posts
Educational Qualification: B.Com/M.Com with CA/ICWA qualification
Age: 18-32 years as on 01/07/2025
Fee: Nil
Pay Scale: ₹35,000-₹40,000 per month
Registration Start: 24 November 2026
Last Date to Apply: 05.09.2026
Preliminary Exam Date: 23 June 2026
Experience: 3 years of experience in relevant field
Selection: Prelims + Mains + Interview","ORGANIZATION:APPSC; POST_NAME:Assistant; VACANCY_COUNT:3; QUALIFICATION:B.Com/M.Com with CA/ICWA qualification; AGE_LIMIT:18-32 years; APPLICATION_FEE:Nil; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:24 November 2026; LAST_DATE:05.09.2026; EXAM_DATE:23 June 2026; EXPERIENCE:3 years of experience in relevant field",APPSC,Engineering Services Examination (ESE) 2026,3
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Life Insurance Corporation of India (LIC)

Post: Postal Assistant
Number of Posts: 50 nos.
Qualification: Ph.D. in relevant discipline
Age: Not exceeding 18-27 years
Consolidated Pay: Level-3: ₹21,700-69,100
No application fee required.
Registration Date: 10 January 2026
Walk-in Date: 22 May 2027
Experience: 1 years of experience in relevant field","ORGANIZATION:LIC; POST_NAME:Postal Assistant; VACANCY_COUNT:50; QUALIFICATION:Ph.D. in relevant discipline; AGE_LIMIT:18-27 years; PAY_SCALE:Level-3: ₹21,700-69,100; START_DATE:10 January 2026; LAST_DATE:22 May 2027; EXPERIENCE:1 years of experience in relevant field",LIC,RRB ALP Technician Recruitment 2026,50
"Applications are invited for 5,000 positions of Clerk in Council of Scientific & Industrial Research (CSIR). Essential qualification is 10+2 pass with Science stream from recognized board. Upper age limit is 20-30 years as on closing date. Selection will be through written examination. Examination fee: ₹600. Remuneration: Level-11: ₹67,700-2,08,700. Online registration opens: 22 September, 2026. Last date for submission: 13-08-2027. Written test date: 28 September, 2026. Desired experience: 5 years of experience in relevant field.","VACANCY_COUNT:5,000; POST_NAME:Clerk; ORGANIZATION:CSIR; QUALIFICATION:10+2 pass with Science stream from recognized board; AGE_LIMIT:20-30 years; APPLICATION_FEE:₹600; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:22 September, 2026; LAST_DATE:13-08-2027; EXAM_DATE:28 September, 2026; EXPERIENCE:5 years of experience in relevant field",CSIR,DRDO Scientist B Recruitment through RAC 2026,5000
"WALK-IN INTERVIEW / RECRUITMENT DRIVE
Centre for Development of Advanced Computing (CDAC)

Post: Project Engineer
Number of Posts: 250 nos.
Qualification: B.Sc. in Computer Science/IT with minimum 60% marks
Age: Not exceeding 23-35 years
Consolidated Pay: Level-4: ₹25,500-81,100
No application fee required.
Registration Date: 7-Jul-2026
Walk-in Date: 21 August 2027
Experience: 1 years of experience in relevant field","ORGANIZATION:CDAC; POST_NAME:Project Engineer; VACANCY_COUNT:250; QUALIFICATION:B.Sc. in Computer Science/IT with minimum 60% marks; AGE_LIMIT:23-35 years; PAY_SCALE:Level-4: ₹25,500-81,100; START_DATE:7-Jul-2026; LAST_DATE:21 August 2027; EXPERIENCE:1 years of experience in relevant field",CDAC,HAL Management Trainee Recruitment 2026,250
"GOVERNMENT OF INDIA
Defence Research & Development Organisation
EMPLOYMENT NOTIFICATION NO. 7/2025

DRDO proposes to fill up 200 vacancies of Inspector of Posts on direct recruitment basis.

1. ELIGIBILITY CRITERIA:
   (a) Educational Qualification: Any Degree with knowledge of Computer Applications
   (b) Age Limit: 25-40 years (Relaxation applicable as per Central Government Rules)
   (c) Experience: 1 years of experience in relevant field

2. PAY AND ALLOWANCES:
   ₹35,000-₹40,000 per month plus DA, HRA, and other allowances as per Central Government Rules.

3. APPLICATION FEE:
   No fee (SC/ST/Women/PwBD candidates exempted)

4. IMPORTANT DATES:
   Start Date of Online Application: 9 September, 2026
   Last Date of Online Application: 14rd March 2027
   Tentative Date of CBT/Examination: 19th January 2027","ORGANIZATION:DRDO; VACANCY_COUNT:200; POST_NAME:Inspector of Posts; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:25-40 years; EXPERIENCE:1 years of experience in relevant field; PAY_SCALE:₹35,000-₹40,000 per month; APPLICATION_FEE:No fee; START_DATE:9 September, 2026; LAST_DATE:14rd March 2027; EXAM_DATE:19th January 2027",DRDO,KVS PGT/TGT/PRT Recruitment 2026,200
"Notification: Multi Tasking Staff (MTS) Examination 2026
Issued by: Centre for Development of Advanced Computing
Total posts to be filled: 25
Post name: Forest Range Officer
Required qualification: MBBS from recognized medical college
Age criteria: 20-28 years
Exam fee: No fee
Pay after selection: ₹35,000-₹40,000 per month
Important dates - 
  Apply from: 27-Sep-2026
  Apply till: 1th April 2027
  Exam on: 05-10-2027
Experience criteria: Freshers eligible","VACANCY_COUNT:25; POST_NAME:Forest Range Officer; QUALIFICATION:MBBS from recognized medical college; AGE_LIMIT:20-28 years; APPLICATION_FEE:No fee; PAY_SCALE:₹35,000-₹40,000 per month; START_DATE:27-Sep-2026; LAST_DATE:1th April 2027; EXAM_DATE:05-10-2027; EXPERIENCE:Freshers eligible",CDAC,Multi Tasking Staff (MTS) Examination 2026,25
"The BHEL invites online applications from eligible candidates for direct recruitment to 50 posts of Management Trainee in Bharat Heavy Electricals Limited. Candidates should possess 10+2 pass with Science stream from recognized board. The age of the candidate should be between 21-30 years. Application fee is No fee. The pay scale for the post is Level-6: ₹35,400-1,12,400. Interested candidates may apply online from 19.08.2026 to 15-Dec-2026. The computer based test is tentatively scheduled on 23/04/2026. Required experience: Freshers can apply.","ORGANIZATION:BHEL; VACANCY_COUNT:50; POST_NAME:Management Trainee; QUALIFICATION:10+2 pass with Science stream from recognized board; AGE_LIMIT:21-30 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-6: ₹35,400-1,12,400; START_DATE:19.08.2026; LAST_DATE:15-Dec-2026; EXAM_DATE:23/04/2026; EXPERIENCE:Freshers can apply",BHEL,RRB JE Recruitment 2026,50
"Notification: SAIL Management Trainee through GATE 2026
Issued by: National Informatics Centre
Total posts to be filled: 3000
Post name: Junior Resident
Required qualification: Matriculation (10th pass) from recognized board
Age criteria: 19.5-25 years
Exam fee: ₹200
Pay after selection: Level-13: ₹1,23,100-2,15,900
Important dates - 
  Apply from: 21.07.2026
  Apply till: 09 August 2027
  Exam on: 05 June 2027
Experience criteria: 5 years of experience in relevant field","VACANCY_COUNT:3000; POST_NAME:Junior Resident; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹200; PAY_SCALE:Level-13: ₹1,23,100-2,15,900; START_DATE:21.07.2026; LAST_DATE:09 August 2027; EXAM_DATE:05 June 2027; EXPERIENCE:5 years of experience in relevant field",NIC,SAIL Management Trainee through GATE 2026,3000
"The SAIL invites online applications from eligible candidates for direct recruitment to 200 posts of Data Entry Operator in Steel Authority of India Limited. Candidates should possess Post Graduate Degree in relevant subject with UGC NET. The age of the candidate should be between 21-35 years. Application fee is ₹600. The pay scale for the post is Level-14: ₹1,44,200-2,18,200. Interested candidates may apply online from 26-May-2026 to 04 April 2026. The computer based test is tentatively scheduled on 21.04.2026. Required experience: 5 years of experience in relevant field.","ORGANIZATION:SAIL; VACANCY_COUNT:200; POST_NAME:Data Entry Operator; QUALIFICATION:Post Graduate Degree in relevant subject with UGC NET; AGE_LIMIT:21-35 years; APPLICATION_FEE:₹600; PAY_SCALE:Level-14: ₹1,44,200-2,18,200; START_DATE:26-May-2026; LAST_DATE:04 April 2026; EXAM_DATE:21.04.2026; EXPERIENCE:5 years of experience in relevant field",SAIL,RRB JE Recruitment 2026,200
"Reserve Bank of India (RBI) has released notification for Indian Air Force AFCAT 2026. Total number of vacancies: 3000 posts for the post of Scientist/Engineer SC. Educational Qualification: B.Sc. in Computer Science/IT with minimum 60% marks. Age Limit: 18-27 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: No fee for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹44,900-₹1,42,400 (7th CPC). Application Start Date: 05/03/2026. Last Date to Apply: 20-Jul-2026. Date of Examination: 05/06/2026. Experience: 2 years of experience in relevant field.","ORGANIZATION:RBI; VACANCY_COUNT:3000; POST_NAME:Scientist/Engineer SC; QUALIFICATION:B.Sc. in Computer Science/IT with minimum 60% marks; AGE_LIMIT:18-27 years; APPLICATION_FEE:No fee; PAY_SCALE:₹44,900-₹1,42,400 (7th CPC); START_DATE:05/03/2026; LAST_DATE:20-Jul-2026; EXAM_DATE:05/06/2026; EXPERIENCE:2 years of experience in relevant field",RBI,Indian Air Force AFCAT 2026,3000
"Andhra Pradesh PUBLIC SERVICE COMMISSION
NOTIFICATION NO. 30/2024

The Andhra Pradesh Public Service Commission (APPSC) invites applications for recruitment to the post of Lower Division Clerk (LDC).

Total Vacancies: 20 posts
Educational Qualification: MBBS from recognized medical college
Age: 17.5-21 years as on 01/07/2024
Fee: No fee
Pay Scale: Level-8: ₹47,600-1,51,100
Registration Start: 20/02/2026
Last Date to Apply: 25 January, 2027
Preliminary Exam Date: 14-08-2026
Experience: 2 years of experience in relevant field
Selection: Prelims + Mains + Interview","VACANCY_COUNT:20; ORGANIZATION:APPSC; POST_NAME:Lower Division Clerk (LDC); QUALIFICATION:MBBS from recognized medical college; AGE_LIMIT:17.5-21 years; APPLICATION_FEE:No fee; PAY_SCALE:Level-8: ₹47,600-1,51,100; START_DATE:20/02/2026; LAST_DATE:25 January, 2027; EXAM_DATE:14-08-2026; EXPERIENCE:2 years of experience in relevant field",APPSC,IBPS Clerk Recruitment CRP Clerks-XIV,20
"Bharat Heavy Electricals Limited
RECRUITMENT OF PRIMARY TEACHER (PRT) - 2026

BHEL invites applications from eligible Indian Citizens for appointment of Primary Teacher (PRT) in various branches/offices across India.

Vacancies: 20 (including backlog)
Category-wise: UR-8, OBC-5, SC-3, ST-1, EWS-2

Eligibility: B.Sc. in Computer Science/IT with minimum 60% marks
Age on cutoff date: 18-25 years
Fee: ₹100 + GST for General/OBC, Nil for SC/ST/PwBD
CTC: Level-11: ₹67,700-2,08,700 approximately
Online application: 18 September 2026 to 20 September 2027
Online exam: 15/12/2026
Experience: Freshers eligible","VACANCY_COUNT:20; ORGANIZATION:BHEL; POST_NAME:Primary Teacher (PRT); QUALIFICATION:B.Sc. in Computer Science/IT with minimum 60% marks; AGE_LIMIT:18-25 years; APPLICATION_FEE:₹100; PAY_SCALE:Level-11: ₹67,700-2,08,700; START_DATE:18 September 2026; LAST_DATE:20 September 2027; EXAM_DATE:15/12/2026; EXPERIENCE:Freshers eligible",BHEL,India Post Postal Assistant/SA Recruitment 2026,20
"The NVS invites online applications from eligible candidates for direct recruitment to 5 posts of Scientist C in Navodaya Vidyalaya Samiti. Candidates should possess Any Degree with knowledge of Computer Applications. The age of the candidate should be between 20-28 years. Application fee is ₹250. The pay scale for the post is Level-7: ₹44,900-1,42,400. Interested candidates may apply online from 17/04/2026 to 28 October, 2026. The computer based test is tentatively scheduled on 28-Apr-2026. Required experience: 3 years of experience in relevant field.","ORGANIZATION:NVS; VACANCY_COUNT:5; POST_NAME:Scientist C; QUALIFICATION:Any Degree with knowledge of Computer Applications; AGE_LIMIT:20-28 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-7: ₹44,900-1,42,400; START_DATE:17/04/2026; LAST_DATE:28 October, 2026; EXAM_DATE:28-Apr-2026; EXPERIENCE:3 years of experience in relevant field",NVS,SBI Specialist Officer (IT) Recruitment 2026,5
"Applications are invited for 20 positions of PGT Computer Science in Defence Research & Development Organisation (DRDO). Essential qualification is MCA from recognized university with minimum 55% marks. Upper age limit is 18-35 years as on closing date. Selection will be through written examination. Examination fee: ₹250. Remuneration: Level-1: ₹18,000-56,900. Online registration opens: 01 February 2026. Last date for submission: 18.07.2026. Written test date: 19/08/2027. Desired experience: 3 years of experience in relevant field.","VACANCY_COUNT:20; POST_NAME:PGT Computer Science; ORGANIZATION:DRDO; QUALIFICATION:MCA from recognized university with minimum 55% marks; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹250; PAY_SCALE:Level-1: ₹18,000-56,900; START_DATE:01 February 2026; LAST_DATE:18.07.2026; EXAM_DATE:19/08/2027; EXPERIENCE:3 years of experience in relevant field",DRDO,EPFO Assistant Recruitment 2026,20
"Software Technology Parks of India (STPI) has released notification for National Defence Academy (NDA) Examination 2026. Total number of vacancies: 1500 posts for the post of Technician B. Educational Qualification: Diploma in Engineering (Computer/IT/Electronics/Electrical). Age Limit: 19.5-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: ₹250 for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹30,000 consolidated per month. Application Start Date: 23-Nov-2026. Last Date to Apply: 20 September 2027. Date of Examination: 01 April 2026. Experience: 1 years of experience in relevant field.","ORGANIZATION:STPI; VACANCY_COUNT:1500; POST_NAME:Technician B; QUALIFICATION:Diploma in Engineering (Computer/IT/Electronics/Electrical); AGE_LIMIT:19.5-25 years; APPLICATION_FEE:₹250; PAY_SCALE:₹30,000 consolidated per month; START_DATE:23-Nov-2026; LAST_DATE:20 September 2027; EXAM_DATE:01 April 2026; EXPERIENCE:1 years of experience in relevant field",STPI,National Defence Academy (NDA) Examination 2026,1500
"RECRUITMENT NOTIFICATION
Advertisement No. 1/2026
Organization: Gas Authority of India Limited
Name of Post: Junior Accountant
No. of Vacancies: 50
Qualification Required: M.Sc. in relevant subject with NET/SLET qualification
Maximum Age: 20-30 years
Fee: Nil
Salary/Pay: ₹21,700-₹69,100 (7th CPC)
Opening Date: 26 June 2026
Closing Date: 28-09-2027
Exam Date: 4 March, 2026
Work Experience: 3 years of experience in relevant field","POST_NAME:Junior Accountant; VACANCY_COUNT:50; QUALIFICATION:M.Sc. in relevant subject with NET/SLET qualification; AGE_LIMIT:20-30 years; APPLICATION_FEE:Nil; PAY_SCALE:₹21,700-₹69,100 (7th CPC); START_DATE:26 June 2026; LAST_DATE:28-09-2027; EXAM_DATE:4 March, 2026; EXPERIENCE:3 years of experience in relevant field",GAIL,UGC NET June 2026,50
"Union Public Service Commission (UPSC) has released notification for APPSC Group-I Services Recruitment 2026. Total number of vacancies: 750 posts for the post of Nursing Officer. Educational Qualification: B.Com/M.Com with CA/ICWA qualification. Age Limit: 18-25 years as on last date of application (relaxation for reserved categories as per govt rules). Application Fee: No fee for General/OBC candidates (SC/ST/PH candidates are exempted). Pay Scale: ₹21,700-₹69,100 (7th CPC). Application Start Date: 23-08-2026. Last Date to Apply: 03.12.2026. Date of Examination: 26-Oct-2027. Experience: 5 years of experience in relevant field.","ORGANIZATION:UPSC; VACANCY_COUNT:750; POST_NAME:Nursing Officer; QUALIFICATION:B.Com/M.Com with CA/ICWA qualification; AGE_LIMIT:18-25 years; APPLICATION_FEE:No fee; PAY_SCALE:₹21,700-₹69,100 (7th CPC); START_DATE:23-08-2026; LAST_DATE:03.12.2026; EXAM_DATE:26-Oct-2027; EXPERIENCE:5 years of experience in relevant field",UPSC,APPSC Group-I Services Recruitment 2026,750
"Applications are invited for 5 positions of Lower Division Clerk (LDC) in Software Technology Parks of India (STPI). Essential qualification is Matriculation (10th pass) from recognized board. Upper age limit is 21-35 years as on closing date. Selection will be through written examination. Examination fee: ₹2000. Remuneration: Level-10: ₹56,100-1,77,500. Online registration opens: 13th December 2026. Last date for submission: 25rd November 2026. Written test date: 03-09-2027. Desired experience: 5 years of experience in relevant field.","VACANCY_COUNT:5; POST_NAME:Lower Division Clerk (LDC); ORGANIZATION:STPI; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:21-35 years; APPLICATION_FEE:₹2000; PAY_SCALE:Level-10: ₹56,100-1,77,500; START_DATE:13th December 2026; LAST_DATE:25rd November 2026; EXAM_DATE:03-09-2027; EXPERIENCE:5 years of experience in relevant field",STPI,Multi Tasking Staff (MTS) Examination 2026,5
"RECRUITMENT NOTIFICATION
Advertisement No. 3/2025
Organization: National Informatics Centre
Name of Post: Assistant
No. of Vacancies: 3
Qualification Required: Matriculation (10th pass) from recognized board
Maximum Age: 18-35 years
Fee: ₹750
Salary/Pay: Level-4: ₹25,500-81,100
Opening Date: 14nd January 2026
Closing Date: 11/04/2026
Exam Date: 28.07.2027
Work Experience: 1 years of experience in relevant field","VACANCY_COUNT:3; POST_NAME:Assistant; QUALIFICATION:Matriculation (10th pass) from recognized board; AGE_LIMIT:18-35 years; APPLICATION_FEE:₹750; PAY_SCALE:Level-4: ₹25,500-81,100; START_DATE:14nd January 2026; LAST_DATE:11/04/2026; EXAM_DATE:28.07.2027; EXPERIENCE:1 years of experience in relevant field",NIC,Combined Graduate Level Examination (CGL) 2026,3
